Alochana Prasange
Ap1 https://fliphtml5.com/ybxc/gibt/basic
Ap3 https://fliphtml5.com/ybxc/irch
Ap4 https://fliphtml5.com/ybxc/bfnh
Ap5 https://fliphtml5.com/ybxc/hpso
Ap6 https://fliphtml5.com/ybxc/daqw
Ap7 https://fliphtml5.com/ybxc/cwmw
Ap8 https://fliphtml5.com/ybxc/acwi
Ap12 https://fliphtml5.com/ybxc/bceq/basic
Ap13 https://fliphtml5.com/ybxc/qoew
Ap14 https://fliphtml5.com/ybxc/obtq/basic
Ap16 https://fliphtml5.com/ybxc/kcdl
Ap17 https://fliphtml5.com/ybxc/llii/basic
Ap18 https://fliphtml5.com/ybxc/bfqk 
Ap19 https://fliphtml5.com/ybxc/sklo/basic
Ap20 https://fliphtml5.com/ybxc/jqkr
Ap22 https://fliphtml5.com/ybxc/wnlj/basic

Nana Prasange
np2 https://fliphtml5.com/ybxc/imqy/basic
np3 https://fliphtml5.com/ybxc/odyc/basic
np4 https://fliphtml5.com/ybxc/nnfs/basic

Deep rakhhi
dp1 https://fliphtml5.com/ybxc/aqls
dp2 https://fliphtml5.com/ybxc/llnq
dp3 https://fliphtml5.com/ybxc/qzar
dp4 https://fliphtml5.com/ybxc/ujnp
dp5 https://fliphtml5.com/ybxc/qpvh
dp6 https://fliphtml5.com/ybxc/vqij


